route_id,service_id,trip_id,trip_headsign,direction_id,block_id
97-273,JAN18-JANDA18-Weekday-31,50075718-JAN18-JANDA18-Weekday-31,"Bells Corners",1,5757156
94-273,JAN18-JANDA18-Weekday-31,50075719-JAN18-JANDA18-Weekday-31,"Millennium",1,5757156
234-273,JAN18-JANDA18-Weekday-31,50075720-JAN18-JANDA18-Weekday-31,"Gatineau",0,5756564
105-273,JAN18-JANDA18-Weekday-31,50075721-JAN18-JANDA18-Weekday-31,"Gatineau",0,5756564
95-273,JAN18-JANDA18-Weekday-31,50075722-JAN18-JANDA18-Weekday-31,"Orléans",0,5755994
91-273,JAN18-JANDA18-Weekday-31,50075723-JAN18-JANDA18-Weekday-31,"Baseline",1,5755981
111-273,JAN18-JANDA18-Weekday-31,50075724-JAN18-JANDA18-Weekday-31,"Billings Bridge",0,5757063
111-273,JAN18-JANDA18-Weekday-31,50075725-JAN18-JANDA18-Weekday-31,"Baseline",1,5756938
111-273,JAN18-JANDA18-Weekday-31,50075726-JAN18-JANDA18-Weekday-31,"Billings Bridge",0,5756476
111-273,JAN18-JANDA18-Weekday-31,50075727-JAN18-JANDA18-Weekday-31,"Baseline",1,5757063
111-273,JAN18-JANDA18-Weekday-31,50075728-JAN18-JANDA18-Weekday-31,"Billings Bridge",0,5756516
111-273,JAN18-JANDA18-Weekday-31,50075729-JAN18-JANDA18-Weekday-31,"Baseline",1,5756396
99-273,JAN18-JANDA18-Weekday-31,50075730-JAN18-JANDA18-Weekday-31,"Barrhaven Centre",1,5756411
95-273,JAN18-JANDA18-Weekday-31,50075731-JAN18-JANDA18-Weekday-31,"Barrhaven Centre",1,5756956
99-273,JAN18-JANDA18-Weekday-31,50075732-JAN18-JANDA18-Weekday-31,"Greenboro",0,5756440
66-273,JAN18-JANDA18-Weekday-31,50075733-JAN18-JANDA18-Weekday-31,"Kanata",0,5757025
268-273,JAN18-JANDA18-Weekday-31,50075734-JAN18-JANDA18-Weekday-31,"Mackenzie King",0,5757025
602-273,JAN18-JANDA18-Weekday-31,50075735-JAN18-JANDA18-Weekday-31,"Mackenzie King",1,5756332
105-273,JAN18-JANDA18-Weekday-31,50075736-JAN18-JANDA18-Weekday-31,"Tunney's Pasture",1,5756384
87-273,JAN18-JANDA18-Weekday-31,50075737-JAN18-JANDA18-Weekday-31,"Greenboro",0,5756384
6-273,JAN18-JANDA18-Weekday-31,50075738-JAN18-JANDA18-Weekday-31,"Rockcliffe",1,5756691
6-273,JAN18-JANDA18-Weekday-31,50075739-JAN18-JANDA18-Weekday-31,"Greenboro",0,5757200
4-273,JAN18-JANDA18-Weekday-31,50075740-JAN18-JANDA18-Weekday-31,"Rideau",1,5756744
97-273,JAN18-JANDA18-Weekday-31,50075741-JAN18-JANDA18-Weekday-31,"Airport / Aéroport",0,5756878
99-273,JAN18-JANDA18-Weekday-31,50075742-JAN18-JANDA18-Weekday-31,"Barrhaven Centre",1,5756878
96-273,JAN18-JANDA18-Weekday-31,50075743-JAN18-JANDA18-Weekday-31,"Greenboro",0,5756878
97-273,JAN18-JANDA18-Weekday-31,50075744-JAN18-JANDA18-Weekday-31,"Airport / Aéroport",0,5757148
97-273,JAN18-JANDA18-Weekday-31,50075745-JAN18-JANDA18-Weekday-31,"Bells Corners",1,5757148
97-273,JAN18-JANDA18-Weekday-31,50075746-JAN18-JANDA18-Weekday-31,"Airport / Aéroport",0,5757148
97-273,JAN18-JANDA18-Weekday-31,50075747-JAN18-JANDA18-Weekday-31,"Bells Corners",1,5757148
91-273,JAN18-JANDA18-Weekday-31,50075748-JAN18-JANDA18-Weekday-31,"Orléans",0,5755977
91-273,JAN18-JANDA18-Weekday-31,50075749-JAN18-JANDA18-Weekday-31,"Orléans",0,5755977
91-273,JAN18-JANDA18-Weekday-31,50075750-JAN18-JANDA18-Weekday-31,"Orléans",0,5756955
106-273,JAN18-JANDA18-Weekday-31,50075751-JAN18-JANDA18-Weekday-31,"Hurdman",1,5757107
106-273,JAN18-JANDA18-Weekday-31,50075752-JAN18-JANDA18-Weekday-31,"St-Laurent",0,5757012
